user_id,plan_type,billing_cycle,signup_date,is_churner
91,Family,Annual,2024-01-17,False
92,Basic,Monthly,2024-12-09,False
93,Premium,Monthly,2024-08-03,False
94,Family,Annual,2024-12-26,False
95,Family,Annual,2024-02-26,False
96,Family,Annual,2024-04-14,False
97,Premium,Monthly,2024-10-17,False
98,Basic,Monthly,2024-04-02,False
99,Family,Annual,2024-08-26,False
100,Premium,Annual,2024-08-25,False
101,Basic,Monthly,2024-07-24,False
102,Premium,Annual,2024-12-13,False
103,Premium,Monthly,2024-04-22,False
104,Family,Annual,2024-04-21,True
105,Family,Annual,2024-05-26,True
106,Premium,Annual,2024-03-31,False
107,Premium,Annual,2024-10-18,False
108,Premium,Monthly,2024-03-23,False
109,Basic,Annual,2024-08-12,False
110,Basic,Annual,2024-01-13,False
111,Basic,Annual,2024-03-20,False
112,Premium,Annual,2024-04-19,False
113,Premium,Annual,2024-01-10,False
114,Premium,Monthly,2024-04-07,False
115,Basic,Monthly,2024-04-20,False
116,Basic,Monthly,2024-10-27,False
117,Premium,Monthly,2024-12-28,False
118,Family,Annual,2024-03-16,False
119,Premium,Monthly,2024-06-04,False
120,Basic,Annual,2024-02-08,False
121,Basic,Monthly,2024-07-30,False
122,Premium,Annual,2024-08-22,False
123,Basic,Annual,2024-07-03,False
124,Basic,Monthly,2024-10-19,False
125,Family,Annual,2024-10-15,False
126,Basic,Monthly,2024-07-18,False
127,Basic,Annual,2024-04-21,False
128,Family,Annual,2024-01-13,False
129,Family,Annual,2024-01-18,False
130,Basic,Monthly,2024-05-03,False
131,Family,Annual,2024-09-20,False
132,Premium,Monthly,2024-06-14,False
133,Premium,Monthly,2024-08-29,False
134,Family,Annual,2024-01-07,False
135,Premium,Monthly,2024-07-25,False
136,Family,Annual,2024-01-19,True
137,Family,Annual,2024-05-23,False
138,Premium,Monthly,2024-07-17,False
139,Premium,Annual,2024-06-18,False
140,Family,Annual,2024-10-26,False
141,Premium,Annual,2024-08-22,False
142,Premium,Annual,2024-07-19,False
143,Family,Annual,2024-04-06,True
144,Family,Annual,2024-06-08,True
145,Premium,Annual,2024-09-20,False
146,Premium,Annual,2024-09-28,False
147,Basic,Annual,2024-06-25,False
148,Premium,Annual,2024-01-14,False
149,Basic,Monthly,2024-11-30,False
150,Family,Annual,2024-11-28,False
151,Family,Annual,2024-06-09,False
152,Basic,Monthly,2024-09-01,False
153,Basic,Monthly,2024-10-03,False
154,Family,Annual,2024-05-05,False
155,Premium,Annual,2024-11-13,False
156,Family,Annual,2024-01-16,False
157,Family,Annual,2024-07-29,True
158,Premium,Monthly,2024-09-15,True
159,Family,Annual,2024-10-11,False
160,Basic,Monthly,2024-02-22,False
161,Premium,Monthly,2024-09-17,False
162,Premium,Annual,2024-10-24,False
163,Basic,Monthly,2024-10-12,False
164,Family,Annual,2024-11-17,False
165,Premium,Monthly,2024-06-07,False
166,Basic,Annual,2024-06-25,False
167,Basic,Annual,2024-03-14,False
168,Basic,Annual,2024-10-06,False
169,Family,Annual,2024-09-03,False
170,Basic,Monthly,2024-04-25,False
171,Premium,Monthly,2024-02-08,False
172,Basic,Annual,2024-11-18,False
173,Premium,Monthly,2024-07-28,False
174,Premium,Monthly,2024-08-04,False
175,Basic,Monthly,2024-09-02,False
176,Premium,Monthly,2024-07-17,False
177,Premium,Monthly,2024-02-10,False
178,Basic,Monthly,2024-02-16,False
179,Premium,Monthly,2024-11-27,False
180,Premium,Monthly,2024-02-12,False
181,Premium,Monthly,2024-02-28,False
182,Basic,Annual,2024-03-28,False
183,Basic,Annual,2024-08-12,True
184,Premium,Annual,2024-02-24,False
185,Family,Annual,2024-01-02,False
186,Premium,Annual,2024-11-19,False
187,Basic,Annual,2024-04-05,False
188,Basic,Monthly,2024-03-15,False
189,Basic,Annual,2024-09-04,False
190,Premium,Monthly,2024-12-10,False
191,Family,Annual,2024-11-26,False
192,Basic,Annual,2024-05-26,False
193,Basic,Annual,2024-05-18,False
194,Basic,Annual,2024-05-28,False
195,Basic,Monthly,2024-08-02,False
196,Basic,Monthly,2024-05-13,False
197,Basic,Monthly,2024-10-17,False
198,Basic,Annual,2024-02-23,False
199,Family,Annual,2024-09-13,False
200,Basic,Monthly,2024-01-14,False
201,Premium,Monthly,2024-06-23,False
202,Family,Annual,2024-10-21,False
203,Basic,Annual,2024-03-05,False
204,Premium,Annual,2024-09-24,False
205,Family,Annual,2024-06-23,False
206,Family,Annual,2024-09-11,False
207,Premium,Annual,2024-02-29,False
208,Basic,Monthly,2024-01-12,False
209,Basic,Monthly,2024-08-22,False
210,Family,Annual,2024-12-01,False
211,Basic,Monthly,2024-05-06,False
212,Family,Annual,2024-04-05,False
213,Family,Annual,2024-08-04,False
214,Basic,Annual,2024-09-15,False
215,Premium,Annual,2024-07-15,False
216,Premium,Annual,2024-11-30,False
217,Family,Annual,2024-08-10,False
218,Basic,Monthly,2024-12-11,False
219,Family,Annual,2024-04-18,False
220,Family,Annual,2024-11-27,False
221,Basic,Annual,2024-05-02,False
222,Family,Annual,2024-05-03,False
223,Basic,Annual,2024-05-26,False
224,Premium,Monthly,2024-06-24,False
225,Family,Annual,2024-10-28,True
226,Premium,Annual,2024-11-06,True
227,Family,Annual,2024-04-14,False
228,Premium,Annual,2024-09-20,False
229,Premium,Monthly,2024-04-06,False
230,Premium,Monthly,2024-01-02,False
231,Premium,Monthly,2024-03-16,False
232,Premium,Monthly,2024-08-13,False
233,Family,Annual,2024-06-14,False
234,Basic,Annual,2024-08-26,False
235,Premium,Annual,2024-02-22,False
236,Family,Annual,2024-07-05,False
237,Premium,Monthly,2024-10-16,False
238,Premium,Annual,2024-12-31,False
239,Family,Annual,2024-04-20,False
240,Premium,Annual,2024-10-26,False
241,Family,Annual,2024-04-29,False
242,Family,Annual,2024-05-14,False
243,Family,Annual,2024-08-24,False
244,Family,Annual,2024-01-02,False
245,Premium,Monthly,2024-03-23,False
246,Basic,Annual,2024-01-13,False
247,Family,Annual,2024-10-15,True
248,Premium,Monthly,2024-11-07,False
249,Family,Annual,2024-04-02,False
250,Family,Annual,2024-05-12,False
251,Premium,Monthly,2024-03-07,False
252,Family,Annual,2024-07-21,False
253,Family,Annual,2024-07-09,False
254,Family,Annual,2024-02-01,False
255,Basic,Monthly,2024-09-20,False
256,Basic,Monthly,2024-03-29,False
257,Basic,Annual,2024-01-22,False
258,Basic,Monthly,2024-11-15,False
259,Premium,Annual,2024-04-04,False
260,Basic,Annual,2024-08-23,False
261,Basic,Annual,2024-01-22,False
262,Family,Annual,2024-03-09,False
263,Family,Annual,2024-09-21,False
264,Family,Annual,2024-02-28,False
265,Basic,Annual,2024-07-19,False
266,Basic,Monthly,2024-02-22,False
267,Family,Annual,2024-11-02,False
268,Premium,Monthly,2024-10-26,False
269,Family,Annual,2024-08-04,False
270,Basic,Annual,2024-04-14,False
271,Premium,Monthly,2024-06-23,False
272,Basic,Monthly,2024-12-23,False
273,Basic,Monthly,2024-02-27,False
274,Basic,Monthly,2024-10-31,False
275,Family,Annual,2024-04-14,False
276,Basic,Monthly,2024-03-20,False
277,Premium,Annual,2024-05-24,False
278,Family,Annual,2024-12-09,False
279,Basic,Annual,2024-07-05,False
280,Family,Annual,2024-09-01,False
281,Family,Annual,2024-02-17,False
282,Basic,Annual,2024-01-16,False
283,Premium,Annual,2024-02-12,False
284,Premium,Annual,2024-05-23,False
285,Basic,Annual,2024-03-18,False
286,Basic,Monthly,2024-11-28,False
287,Premium,Monthly,2024-08-30,False
288,Premium,Monthly,2024-03-30,False
289,Premium,Monthly,2024-12-15,False
290,Basic,Annual,2024-01-10,False
291,Basic,Annual,2024-04-22,False
292,Family,Annual,2024-10-31,False
293,Family,Annual,2024-03-01,False
294,Premium,Monthly,2024-09-13,False
295,Family,Annual,2024-04-19,False
296,Basic,Monthly,2024-03-28,False
297,Family,Annual,2024-04-03,False
298,Family,Annual,2024-11-04,True
299,Basic,Monthly,2024-07-22,False
300,Family,Annual,2024-10-08,False
301,Premium,Annual,2024-10-27,False
302,Family,Annual,2024-11-06,True
303,Premium,Monthly,2024-03-29,False
304,Basic,Monthly,2024-12-21,False
305,Premium,Annual,2024-05-12,False
306,Basic,Annual,2024-12-25,False
307,Premium,Monthly,2024-11-01,False
308,Family,Annual,2024-02-29,False
309,Family,Annual,2024-06-04,False
310,Premium,Monthly,2024-07-20,False
311,Premium,Annual,2024-02-11,False
312,Basic,Monthly,2024-03-19,False
313,Basic,Monthly,2024-08-26,False
314,Premium,Annual,2024-04-02,False
315,Family,Annual,2024-02-13,False
316,Family,Annual,2024-02-05,False
317,Basic,Monthly,2024-10-13,False
318,Basic,Monthly,2024-03-30,False
319,Family,Annual,2024-01-22,False
320,Premium,Monthly,2024-03-12,False
321,Premium,Annual,2024-09-03,False
322,Family,Annual,2024-12-30,False
323,Basic,Monthly,2024-08-30,False
324,Basic,Monthly,2024-07-29,False
325,Basic,Annual,2024-06-04,False
326,Premium,Monthly,2024-01-10,False
327,Family,Annual,2024-06-15,False
328,Premium,Monthly,2024-06-28,False
329,Premium,Monthly,2024-10-05,False
330,Premium,Monthly,2024-10-30,True
331,Basic,Monthly,2024-12-03,False
332,Family,Annual,2024-11-12,False
333,Premium,Annual,2024-05-04,False
334,Premium,Monthly,2024-08-28,False
335,Premium,Monthly,2024-06-23,False
336,Premium,Annual,2024-04-14,False
337,Premium,Annual,2024-01-03,False
338,Family,Annual,2024-01-27,False
339,Premium,Annual,2024-12-04,False
340,Basic,Annual,2024-10-09,False
341,Premium,Monthly,2024-05-01,False
342,Basic,Annual,2024-11-26,False
343,Family,Annual,2024-07-20,False
344,Basic,Annual,2024-05-12,False
345,Premium,Monthly,2024-08-21,False
346,Family,Annual,2024-05-17,False
347,Family,Annual,2024-08-18,False
348,Family,Annual,2024-06-07,False
349,Family,Annual,2024-08-04,False
350,Basic,Monthly,2024-12-12,False
351,Basic,Monthly,2024-03-12,False
352,Basic,Monthly,2024-06-01,False
353,Basic,Monthly,2024-09-16,False
354,Family,Annual,2024-11-08,False
355,Premium,Monthly,2024-12-02,False
356,Premium,Monthly,2024-03-15,False
357,Family,Annual,2024-02-04,False
358,Family,Annual,2024-04-26,False
359,Premium,Monthly,2024-04-01,False
360,Family,Annual,2024-07-18,False
361,Premium,Monthly,2024-08-26,False
362,Family,Annual,2024-11-04,False
363,Family,Annual,2024-06-29,False
364,Premium,Annual,2024-09-07,False
365,Basic,Annual,2024-06-29,False
366,Premium,Monthly,2024-04-26,False
367,Basic,Annual,2024-08-08,False
368,Family,Annual,2024-05-04,True
369,Family,Annual,2024-08-21,False
370,Premium,Annual,2024-03-11,False
371,Basic,Monthly,2024-11-18,False
372,Premium,Annual,2024-11-13,False
373,Family,Annual,2024-08-22,False
374,Basic,Annual,2024-10-11,False
375,Premium,Monthly,2024-02-26,False
376,Basic,Annual,2024-10-24,False
377,Basic,Annual,2024-12-28,False
378,Family,Annual,2024-02-15,False
379,Basic,Monthly,2024-07-29,False
380,Family,Annual,2024-09-01,False
381,Family,Annual,2024-05-06,False
382,Family,Annual,2024-11-21,False
383,Family,Annual,2024-12-14,False
384,Premium,Annual,2024-03-31,False
385,Basic,Annual,2024-02-11,False
386,Family,Annual,2024-04-02,False
387,Family,Annual,2024-09-25,False
388,Family,Annual,2024-06-14,False
389,Family,Annual,2024-02-16,False
390,Basic,Annual,2024-02-27,True
391,Basic,Monthly,2024-11-26,False
392,Premium,Annual,2024-09-05,False
393,Family,Annual,2024-09-25,False
394,Basic,Monthly,2024-08-07,False
395,Basic,Annual,2024-12-14,False
396,Basic,Monthly,2024-11-05,False
397,Family,Annual,2024-11-04,False
398,Family,Annual,2024-09-25,True
399,Premium,Annual,2024-06-15,True
400,Family,Annual,2024-10-07,True
401,Family,Annual,2024-02-17,False
402,Premium,Annual,2024-03-19,False
403,Family,Annual,2024-07-02,False
404,Basic,Monthly,2024-01-12,False
405,Basic,Monthly,2024-06-17,False
406,Basic,Annual,2024-10-03,False
407,Family,Annual,2024-11-22,True
408,Premium,Annual,2024-02-18,False
409,Family,Annual,2024-03-05,False
410,Family,Annual,2024-09-12,False
411,Family,Annual,2024-04-15,True
412,Premium,Monthly,2024-10-20,False
413,Family,Annual,2024-09-06,False
414,Family,Annual,2024-09-01,False
415,Family,Annual,2024-01-12,False
416,Family,Annual,2024-04-24,False
417,Premium,Monthly,2024-01-07,False
418,Family,Annual,2024-07-20,False
419,Family,Annual,2024-11-18,False
420,Family,Annual,2024-09-11,False
421,Basic,Monthly,2024-11-14,False
422,Basic,Monthly,2024-02-20,False
423,Family,Annual,2024-03-23,True
424,Family,Annual,2024-07-24,False
425,Family,Annual,2024-03-11,False
426,Premium,Annual,2024-12-07,False
427,Basic,Monthly,2024-12-17,False
428,Premium,Monthly,2024-08-05,False
429,Family,Annual,2024-01-20,False
430,Premium,Annual,2024-11-24,True
431,Premium,Monthly,2024-03-24,False
432,Premium,Monthly,2024-04-23,False
433,Premium,Annual,2024-08-11,False
434,Basic,Annual,2024-10-16,False
435,Basic,Annual,2024-01-05,False
436,Premium,Annual,2024-03-10,True
437,Family,Annual,2024-09-08,False
438,Basic,Monthly,2024-10-20,False
439,Basic,Annual,2024-05-28,False
440,Family,Annual,2024-05-31,False
441,Premium,Monthly,2024-03-13,False
442,Basic,Annual,2024-10-07,True
443,Family,Annual,2024-05-12,False
444,Premium,Annual,2024-10-07,False
445,Premium,Monthly,2024-07-20,False
446,Premium,Annual,2024-12-07,False
447,Family,Annual,2024-06-07,False
448,Family,Annual,2024-02-10,False
449,Premium,Annual,2024-12-16,False
450,Basic,Annual,2024-10-01,False
451,Premium,Monthly,2024-01-25,False
452,Basic,Monthly,2024-08-11,False
453,Premium,Monthly,2024-09-02,False
454,Premium,Monthly,2024-07-20,False
455,Family,Annual,2024-11-25,False
456,Premium,Monthly,2024-10-02,False
457,Family,Annual,2024-06-06,False
458,Family,Annual,2024-03-07,False
459,Family,Annual,2024-02-07,False
460,Family,Annual,2024-10-18,False
461,Family,Annual,2024-03-16,False
462,Premium,Monthly,2024-02-28,False
463,Family,Annual,2024-05-07,False
464,Family,Annual,2024-09-24,False
465,Family,Annual,2024-06-06,False
466,Family,Annual,2024-11-25,False
467,Basic,Annual,2024-02-10,False
468,Premium,Annual,2024-10-27,False
469,Basic,Monthly,2024-10-04,False
470,Basic,Annual,2024-02-12,False
471,Premium,Annual,2024-05-21,False
472,Family,Annual,2024-12-28,False
473,Family,Annual,2024-02-09,False
474,Family,Annual,2024-12-25,False
475,Basic,Monthly,2024-12-22,False
476,Basic,Annual,2024-05-06,False
477,Basic,Monthly,2024-10-22,False
478,Basic,Monthly,2024-06-30,True
479,Family,Annual,2024-09-19,False
480,Basic,Monthly,2024-08-13,False
481,Premium,Annual,2024-06-29,False
482,Basic,Monthly,2024-01-21,False
483,Basic,Monthly,2024-08-25,True
484,Family,Annual,2024-02-25,False
485,Basic,Monthly,2024-04-27,False
486,Basic,Annual,2024-09-15,False
487,Premium,Annual,2024-05-04,False
488,Premium,Annual,2024-06-11,False
489,Basic,Annual,2024-05-06,False
490,Basic,Monthly,2024-08-29,False
491,Basic,Annual,2024-09-27,False
492,Basic,Monthly,2024-03-19,False
493,Premium,Monthly,2024-09-15,False
494,Basic,Monthly,2024-04-24,False
495,Premium,Monthly,2024-07-14,False
496,Basic,Monthly,2024-09-26,False
497,Basic,Annual,2024-10-28,False
498,Basic,Monthly,2024-11-18,False
499,Family,Annual,2024-05-07,False
500,Basic,Monthly,2024-03-31,False
501,Premium,Annual,2024-07-17,False
502,Family,Annual,2024-12-08,False
503,Basic,Monthly,2024-11-17,False
504,Basic,Monthly,2024-08-13,False
505,Premium,Annual,2024-05-19,False
506,Family,Annual,2024-11-10,False
507,Basic,Monthly,2024-06-28,False
508,Basic,Monthly,2024-07-09,False
509,Premium,Monthly,2024-04-25,False
510,Basic,Annual,2024-07-20,False
511,Premium,Annual,2024-10-11,False
512,Basic,Monthly,2024-06-05,False
513,Premium,Monthly,2024-02-17,False
514,Family,Annual,2024-06-08,False
515,Basic,Monthly,2024-01-28,False
516,Family,Annual,2024-01-01,False
517,Premium,Annual,2024-10-29,False
518,Family,Annual,2024-10-28,False
519,Family,Annual,2024-07-16,False
520,Premium,Monthly,2024-05-05,False
521,Family,Annual,2024-05-21,False
522,Basic,Monthly,2024-10-01,False
523,Family,Annual,2024-07-10,True
524,Premium,Monthly,2024-11-13,False
525,Basic,Monthly,2024-01-07,False
526,Family,Annual,2024-06-27,False
527,Family,Annual,2024-08-06,False
528,Premium,Annual,2024-12-10,False
529,Basic,Annual,2024-10-31,False
530,Premium,Annual,2024-03-06,False
531,Basic,Annual,2024-05-02,False
532,Basic,Monthly,2024-03-19,False
533,Basic,Annual,2024-11-02,False
534,Premium,Annual,2024-03-14,False
535,Family,Annual,2024-05-08,False
536,Family,Annual,2024-05-05,False
537,Family,Annual,2024-03-15,False
538,Basic,Monthly,2024-03-07,False
539,Premium,Annual,2024-10-19,False
540,Premium,Monthly,2024-09-17,False
541,Premium,Monthly,2024-08-16,False
542,Basic,Monthly,2024-09-14,False
543,Basic,Annual,2024-02-24,False
544,Family,Annual,2024-03-25,False
545,Premium,Monthly,2024-01-02,False
546,Premium,Annual,2024-04-07,False
547,Family,Annual,2024-05-01,False
548,Family,Annual,2024-05-13,False
549,Family,Annual,2024-05-22,False
550,Family,Annual,2024-02-24,False
551,Premium,Monthly,2024-12-08,False
552,Premium,Monthly,2024-11-05,False
553,Family,Annual,2024-11-13,False
554,Basic,Monthly,2024-04-01,False
555,Family,Annual,2024-02-26,False
556,Premium,Annual,2024-06-24,False
557,Basic,Monthly,2024-08-07,False
558,Family,Annual,2024-05-05,False
559,Premium,Annual,2024-07-12,False
560,Premium,Monthly,2024-11-28,False
561,Basic,Annual,2024-08-18,False
562,Basic,Monthly,2024-02-26,False
563,Premium,Monthly,2024-09-27,False
564,Premium,Annual,2024-12-10,False
565,Family,Annual,2024-12-13,False
566,Basic,Monthly,2024-07-26,False
567,Premium,Monthly,2024-02-21,False
568,Basic,Annual,2024-11-02,False
569,Basic,Annual,2024-03-15,False
570,Family,Annual,2024-11-21,False
571,Premium,Annual,2024-10-15,False
572,Basic,Annual,2024-04-02,False
573,Basic,Monthly,2024-04-22,False
574,Family,Annual,2024-10-23,False
575,Premium,Monthly,2024-09-27,False
576,Premium,Monthly,2024-03-02,False
577,Premium,Annual,2024-08-21,True
578,Premium,Monthly,2024-01-24,False
579,Family,Annual,2024-11-16,False
580,Premium,Monthly,2024-11-01,False
581,Family,Annual,2024-11-05,False
582,Premium,Monthly,2024-01-19,False
583,Premium,Annual,2024-01-19,False
584,Basic,Monthly,2024-04-14,False
585,Premium,Annual,2024-01-03,False
586,Family,Annual,2024-01-28,False
587,Family,Annual,2024-10-17,False
588,Family,Annual,2024-08-28,False
589,Basic,Monthly,2024-05-17,False
590,Premium,Monthly,2024-08-16,False
591,Family,Annual,2024-02-04,False
592,Basic,Monthly,2024-02-28,True
593,Basic,Annual,2024-02-09,False
594,Basic,Annual,2024-10-27,False
595,Family,Annual,2024-11-11,False
596,Family,Annual,2024-06-30,False
597,Premium,Monthly,2024-03-20,False
598,Family,Annual,2024-12-07,False
599,Family,Annual,2024-09-10,False
600,Basic,Annual,2024-09-21,False
601,Family,Annual,2024-06-25,False
602,Basic,Monthly,2024-02-14,False
603,Family,Annual,2024-11-03,False
604,Family,Annual,2024-10-13,False
605,Basic,Monthly,2024-10-11,False
606,Basic,Annual,2024-03-05,False
607,Basic,Annual,2024-05-18,True
608,Premium,Monthly,2024-12-20,False
609,Basic,Monthly,2024-09-03,False
610,Premium,Monthly,2024-12-24,False
611,Premium,Monthly,2024-03-22,False
612,Basic,Monthly,2024-06-14,False
613,Premium,Monthly,2024-01-18,False
614,Premium,Monthly,2024-12-28,False
615,Premium,Monthly,2024-10-15,False
616,Family,Annual,2024-10-04,False
617,Family,Annual,2024-01-28,False
618,Basic,Annual,2024-09-17,False
619,Family,Annual,2024-04-25,False
620,Basic,Annual,2024-02-21,False
621,Premium,Monthly,2024-11-07,False
622,Family,Annual,2024-03-27,False
623,Basic,Annual,2024-02-20,False
624,Basic,Annual,2024-06-04,False
625,Basic,Monthly,2024-04-09,False
626,Premium,Monthly,2024-07-20,False
627,Family,Annual,2024-09-05,True
628,Family,Annual,2024-04-05,False
629,Basic,Annual,2024-07-01,False
630,Premium,Annual,2024-11-27,False
631,Premium,Annual,2024-06-24,False
632,Family,Annual,2024-01-23,False
633,Premium,Monthly,2024-10-11,True
634,Family,Annual,2024-08-26,False
635,Basic,Monthly,2024-06-18,False
636,Family,Annual,2024-02-23,False
637,Family,Annual,2024-08-03,False
638,Basic,Annual,2024-10-09,False
639,Family,Annual,2024-02-20,False
640,Family,Annual,2024-07-10,False
641,Family,Annual,2024-11-20,False
642,Family,Annual,2024-02-01,True
643,Premium,Annual,2024-10-09,False
644,Basic,Monthly,2024-01-05,False
645,Basic,Annual,2024-09-12,False
646,Basic,Annual,2024-04-09,False
647,Premium,Monthly,2024-09-15,False
648,Premium,Annual,2024-07-22,False
649,Family,Annual,2024-02-15,False
650,Family,Annual,2024-01-15,False
651,Family,Annual,2024-11-02,False
652,Family,Annual,2024-08-01,False
653,Family,Annual,2024-07-30,False
654,Premium,Monthly,2024-06-27,False
655,Basic,Monthly,2024-09-22,False
656,Premium,Monthly,2024-08-18,False
657,Premium,Annual,2024-11-21,False
658,Family,Annual,2024-07-31,False
659,Basic,Monthly,2024-02-03,False
660,Premium,Monthly,2024-05-20,False
661,Family,Annual,2024-03-13,False
662,Family,Annual,2024-10-30,False
663,Family,Annual,2024-05-15,True
664,Premium,Monthly,2024-04-12,False
665,Basic,Annual,2024-04-09,False
666,Family,Annual,2024-12-18,False
667,Family,Annual,2024-02-27,False
668,Premium,Monthly,2024-10-16,False
669,Basic,Annual,2024-12-23,False
670,Basic,Annual,2024-05-24,False
671,Premium,Annual,2024-12-02,False
672,Premium,Monthly,2024-03-01,False
673,Premium,Monthly,2024-10-09,False
674,Basic,Annual,2024-11-17,False
675,Family,Annual,2024-05-17,False
676,Basic,Annual,2024-10-01,False
677,Basic,Monthly,2024-10-22,False
678,Basic,Annual,2024-04-16,False
679,Premium,Monthly,2024-09-14,False
680,Premium,Annual,2024-02-23,False
681,Premium,Monthly,2024-02-07,False
682,Basic,Annual,2024-01-01,False
683,Basic,Annual,2024-10-10,False
684,Basic,Annual,2024-04-07,False
685,Premium,Annual,2024-12-11,False
686,Basic,Annual,2024-12-17,False
687,Family,Annual,2024-03-13,False
688,Premium,Monthly,2024-12-10,False
689,Basic,Monthly,2024-02-22,False
690,Basic,Annual,2024-11-04,False
691,Family,Annual,2024-08-31,False
692,Basic,Annual,2024-04-16,False
693,Basic,Annual,2024-01-06,False
694,Basic,Monthly,2024-01-31,False
695,Basic,Annual,2024-08-19,False
696,Basic,Monthly,2024-03-25,False
697,Premium,Monthly,2024-11-18,False
698,Family,Annual,2024-06-30,False
699,Basic,Annual,2024-05-21,False
700,Premium,Monthly,2024-01-05,False
701,Premium,Monthly,2024-07-04,False
702,Family,Annual,2024-09-14,False
703,Premium,Monthly,2024-06-28,False
704,Family,Annual,2024-10-27,False
705,Basic,Annual,2024-04-22,False
706,Basic,Annual,2024-03-19,False
707,Basic,Annual,2024-06-23,False
708,Basic,Annual,2024-10-16,False
709,Premium,Annual,2024-08-17,False
710,Family,Annual,2024-12-15,False
711,Family,Annual,2024-01-12,False
712,Family,Annual,2024-11-10,False
713,Basic,Monthly,2024-01-25,False
714,Basic,Monthly,2024-08-29,False
715,Basic,Monthly,2024-05-25,False
716,Basic,Monthly,2024-07-20,False
717,Premium,Monthly,2024-11-05,False
718,Family,Annual,2024-01-02,False
719,Family,Annual,2024-04-04,False
720,Family,Annual,2024-12-31,False
721,Family,Annual,2024-10-11,False
722,Premium,Annual,2024-05-28,False
723,Family,Annual,2024-01-29,False
724,Basic,Monthly,2024-11-19,False
725,Family,Annual,2024-04-01,False
726,Premium,Monthly,2024-11-16,False
727,Basic,Monthly,2024-07-31,False
728,Premium,Monthly,2024-09-24,False
729,Premium,Monthly,2024-05-09,False
730,Basic,Monthly,2024-08-17,True
731,Premium,Annual,2024-06-09,False
732,Premium,Monthly,2024-10-09,False
733,Family,Annual,2024-06-04,False
