ticket_id,user_id,date_opened,issue_type
1132,92,2025-09-19,Account Access
1133,8747,2025-04-07,General Inquiry
1134,8521,2025-06-24,General Inquiry
1135,399,2025-05-20,Account Access
1136,8105,2025-09-29,General Inquiry
1137,7365,2024-08-01,Account Access
1138,7944,2024-12-13,General Inquiry
1139,770,2024-01-16,General Inquiry
1140,2432,2025-05-09,Account Access
1141,2805,2025-03-05,Account Access
1142,1125,2024-05-30,Technical
1143,3607,2024-07-31,General Inquiry
1144,5811,2024-07-19,Technical
1145,3957,2025-04-05,Billing
1146,3523,2025-07-07,Billing
1147,7355,2024-12-13,Technical
1148,2123,2024-01-05,Billing
1149,5860,2024-09-27,Billing
1150,2227,2024-07-17,Technical
1151,1632,2024-04-06,Billing
1152,2806,2024-12-05,Billing
1153,383,2024-01-28,General Inquiry
1154,3011,2024-07-20,General Inquiry
1155,7863,2025-03-13,Account Access
1156,3897,2024-01-23,Technical
1157,9403,2024-08-04,Billing
1158,85,2025-02-15,Account Access
1159,8722,2024-03-31,Billing
1160,6338,2024-01-22,Technical
1161,2783,2024-02-23,General Inquiry
1162,4241,2025-01-16,Billing
1163,1417,2025-05-04,Technical
1164,4852,2025-01-25,General Inquiry
1165,2188,2025-04-29,Account Access
1166,4140,2024-05-16,Technical
1167,2984,2024-12-25,Account Access
1168,965,2025-06-17,Account Access
1169,4193,2024-05-17,Technical
1170,6480,2025-04-06,Billing
1171,7194,2024-05-03,Technical
1172,9079,2025-06-11,Account Access
1173,7178,2024-07-03,Billing
1174,8662,2025-08-05,General Inquiry
1175,661,2024-01-31,General Inquiry
1176,8967,2025-08-17,Account Access
1177,1700,2025-10-11,Technical
1178,8991,2024-09-02,Billing
1179,2973,2024-05-17,Billing
1180,5864,2024-02-17,Technical
1181,9314,2025-04-14,Technical
1182,3190,2025-09-07,Account Access
1183,502,2024-12-09,Technical
1184,4715,2024-07-08,General Inquiry
1185,8687,2025-07-02,Technical
1186,390,2024-07-19,General Inquiry
1187,5332,2024-06-12,Technical
1188,5445,2024-07-11,Technical
1189,444,2025-09-01,Billing
1190,4879,2024-10-21,Technical
1191,1867,2024-06-16,Technical
1192,119,2024-10-28,Billing
1193,1462,2025-04-03,General Inquiry
1194,3808,2024-04-08,Technical
1195,5553,2024-11-16,General Inquiry
1196,4398,2024-04-25,Account Access
1197,5354,2025-05-31,General Inquiry
1198,9117,2024-09-25,Billing
1199,9864,2025-03-08,General Inquiry
1200,5661,2025-09-02,Billing
1201,7126,2024-06-18,Technical
1202,8273,2024-07-22,Billing
1203,6153,2024-09-27,General Inquiry
1204,1289,2024-11-06,Technical
1205,3964,2024-03-29,Billing
1206,4218,2025-07-20,Technical
1207,2097,2024-05-01,Technical
1208,1415,2024-07-16,Technical
1209,8582,2024-11-16,Technical
1210,5148,2024-03-01,General Inquiry
1211,8183,2025-08-02,Account Access
1212,4634,2025-02-11,General Inquiry
1213,9310,2024-06-05,Billing
1214,2705,2025-01-06,Technical
1215,1411,2024-09-30,Account Access
1216,4687,2024-01-20,Technical
1217,4150,2025-03-02,Account Access
1218,6143,2025-04-01,General Inquiry
1219,449,2024-11-16,General Inquiry
1220,8081,2024-12-11,Technical
1221,6258,2024-02-01,Technical
1222,4909,2024-07-31,Technical
1223,1810,2024-09-15,Technical
1224,8686,2025-05-15,Billing
1225,6159,2024-06-12,General Inquiry
1226,2721,2024-04-06,Billing
1227,4120,2024-06-13,Technical
1228,7031,2024-11-28,Technical
1229,7418,2025-05-27,General Inquiry
1230,6898,2024-12-26,Technical
1231,2623,2025-01-21,Technical
1232,3356,2024-10-07,General Inquiry
1233,5148,2024-11-11,Technical
1234,1575,2024-04-05,Technical
1235,6104,2024-07-08,Technical
1236,2785,2024-04-30,General Inquiry
1237,1065,2025-03-01,Technical
1238,4036,2025-07-18,Account Access
1239,2905,2024-11-08,Technical
1240,635,2024-12-12,Technical
1241,5757,2024-03-25,Technical
1242,592,2024-05-20,Billing
1243,4450,2024-11-17,Billing
1244,506,2025-09-17,Account Access
1245,9240,2025-07-30,Technical
1246,9140,2024-09-20,General Inquiry
1247,4247,2024-03-24,Technical
1248,5,2025-07-04,Technical
1249,885,2025-07-15,General Inquiry
1250,824,2024-03-11,Billing
1251,8336,2025-03-25,Billing
1252,6177,2024-04-26,Billing
1253,3224,2024-08-12,General Inquiry
1254,4076,2024-04-21,Technical
1255,9151,2024-08-04,Billing
1256,7708,2025-08-04,Billing
1257,4878,2024-05-20,General Inquiry
1258,5283,2024-10-17,Technical
1259,6234,2025-03-07,General Inquiry
1260,5647,2024-07-08,Billing
1261,7187,2025-04-16,Technical
1262,8694,2025-09-25,Account Access
1263,329,2025-05-17,Technical
1264,8710,2024-11-03,Technical
1265,4899,2025-10-08,Technical
1266,5151,2025-03-09,General Inquiry
1267,1077,2024-04-18,Billing
1268,6912,2024-10-21,General Inquiry
1269,5008,2025-08-15,Account Access
1270,2232,2025-06-26,Billing
1271,2197,2025-09-08,Billing
1272,2534,2024-06-06,General Inquiry
1273,2804,2024-09-24,Technical
1274,3164,2024-09-07,General Inquiry
1275,4445,2024-02-26,General Inquiry
1276,1034,2024-03-23,General Inquiry
1277,5953,2025-03-17,General Inquiry
1278,3746,2025-06-19,General Inquiry
1279,4735,2024-08-13,General Inquiry
1280,4146,2024-09-22,General Inquiry
1281,5956,2025-03-27,Technical
1282,1833,2025-09-07,Billing
1283,5708,2025-08-07,Billing
1284,7449,2025-08-26,Billing
1285,5804,2025-04-17,Billing
1286,1676,2025-05-25,Account Access
1287,2566,2025-07-13,Technical
1288,6475,2024-05-28,Billing
1289,6682,2024-08-06,Technical
1290,5474,2025-02-16,Technical
1291,6620,2025-05-20,Billing
1292,3371,2025-03-23,Technical
1293,3906,2025-01-27,Account Access
1294,4772,2024-07-14,Account Access
1295,1069,2024-02-13,Technical
1296,4884,2024-06-23,Billing
1297,6193,2024-05-01,Account Access
1298,1201,2024-02-13,Technical
1299,2880,2024-12-09,Billing
1300,8637,2025-03-20,General Inquiry
1301,6338,2025-08-18,Billing
1302,3680,2024-03-07,Account Access
1303,5496,2024-04-17,Billing
1304,8956,2024-10-08,General Inquiry
1305,5244,2024-11-04,Technical
1306,7477,2024-02-27,General Inquiry
1307,8814,2024-01-08,Account Access
1308,6977,2025-08-24,Technical
1309,6243,2024-05-05,Technical
1310,2597,2024-03-12,Billing
1311,7020,2024-01-12,Billing
1312,845,2024-06-01,General Inquiry
1313,7178,2024-02-22,Billing
1314,2683,2024-12-19,General Inquiry
1315,6877,2024-08-12,General Inquiry
1316,2155,2024-02-14,General Inquiry
1317,9053,2025-03-04,Technical
1318,4683,2024-09-05,Technical
1319,3732,2024-03-13,Technical
1320,548,2025-03-17,General Inquiry
1321,5776,2024-10-28,Billing
1322,6012,2024-01-27,General Inquiry
1323,5186,2025-09-10,Technical
1324,1592,2025-04-18,Technical
1325,9943,2024-04-13,Account Access
1326,6152,2024-04-22,Technical
1327,5123,2024-12-06,Technical
1328,7506,2025-01-21,Billing
1329,6951,2024-03-04,General Inquiry
1330,2937,2024-03-11,Technical
1331,1023,2025-06-06,General Inquiry
1332,3520,2024-10-22,Billing
1333,2623,2025-01-22,Billing
1334,1157,2024-03-22,General Inquiry
1335,5008,2025-08-28,Technical
1336,8864,2025-04-19,General Inquiry
1337,5638,2025-04-27,Technical
1338,5088,2024-06-02,Technical
1339,2845,2025-06-20,General Inquiry
1340,4653,2024-03-15,Technical
1341,7535,2025-09-25,Account Access
1342,5960,2024-11-26,General Inquiry
1343,7869,2025-10-17,Account Access
1344,1176,2024-11-26,Billing
1345,8841,2024-09-27,Account Access
1346,5421,2025-06-24,Billing
1347,5242,2025-09-16,Account Access
1348,459,2024-05-13,Account Access
1349,6047,2024-06-14,Technical
1350,45,2025-04-26,Billing
1351,5387,2025-07-02,Technical
1352,5698,2024-08-17,Billing
1353,4879,2024-07-13,Account Access
1354,1428,2024-09-09,General Inquiry
1355,6567,2025-07-23,General Inquiry
1356,6567,2025-02-05,General Inquiry
1357,6591,2024-09-11,Account Access
1358,4600,2025-02-10,Billing
1359,9651,2025-05-19,General Inquiry
1360,5708,2025-03-03,Technical
1361,5294,2025-07-28,Billing
1362,3877,2024-05-10,Account Access
1363,5081,2025-08-13,Billing
1364,6975,2024-03-11,Technical
1365,8929,2024-01-05,Billing
1366,1118,2025-04-25,Billing
1367,7491,2025-07-27,Technical
1368,1643,2024-10-20,Technical
1369,5575,2025-05-05,Billing
1370,6411,2024-03-03,Technical
1371,5121,2024-01-10,Billing
1372,965,2025-03-18,Billing
1373,9900,2024-09-15,Billing
1374,9072,2025-03-01,Technical
1375,1997,2024-09-22,Billing
1376,4409,2025-07-13,General Inquiry
1377,406,2024-12-22,General Inquiry
1378,1104,2024-04-07,Account Access
1379,7854,2025-04-14,Billing
1380,49,2024-12-26,Technical
1381,4487,2024-04-02,Technical
1382,4764,2025-06-06,Billing
1383,6946,2025-04-12,Billing
1384,7246,2024-05-07,Account Access
1385,8877,2024-10-28,Technical
1386,7175,2025-07-01,Technical
1387,5921,2024-06-26,General Inquiry
1388,802,2025-02-14,Technical
1389,5421,2025-10-01,Technical
1390,225,2024-03-27,Technical
1391,3660,2024-08-06,Technical
1392,3884,2025-02-14,Technical
1393,7560,2025-06-20,Account Access
1394,226,2025-06-05,Billing
1395,45,2025-09-09,Technical
1396,2637,2024-05-27,Technical
1397,9928,2024-07-05,Account Access
1398,7055,2025-03-27,Billing
1399,1920,2025-01-06,Technical
1400,4443,2024-05-01,Technical
1401,1216,2024-10-17,Billing
1402,4674,2025-02-22,Technical
1403,1640,2024-10-29,Billing
1404,3853,2024-07-29,Billing
1405,3763,2024-02-20,Billing
1406,3812,2025-10-10,Billing
1407,2816,2024-03-29,Technical
1408,5190,2024-01-03,Technical
1409,493,2025-04-29,General Inquiry
1410,4434,2024-05-03,General Inquiry
1411,7330,2025-04-08,Technical
1412,5186,2025-03-05,Technical
1413,926,2024-04-20,Account Access
1414,2810,2024-08-19,General Inquiry
1415,42,2025-01-18,General Inquiry
1416,7703,2025-07-17,General Inquiry
1417,9952,2025-06-10,Technical
1418,5857,2024-09-09,General Inquiry
1419,1512,2024-04-06,Technical
1420,8282,2025-02-10,Technical
1421,4149,2025-03-05,Technical
1422,7443,2025-07-21,Technical
1423,7563,2024-10-19,Technical
1424,6235,2025-08-28,Account Access
1425,9096,2025-01-07,Technical
1426,5622,2024-09-03,Billing
1427,8098,2025-09-27,Billing
1428,8915,2025-07-23,Account Access
1429,702,2024-07-12,Technical
1430,6612,2025-10-05,Technical
1431,7934,2025-01-03,Technical
1432,7894,2024-07-14,Technical
1433,8268,2025-05-31,Account Access
1434,5229,2025-03-13,General Inquiry
1435,6691,2024-04-09,Account Access
1436,6395,2025-10-05,General Inquiry
1437,7977,2024-09-24,General Inquiry
1438,1928,2024-10-09,Technical
1439,2636,2024-08-09,General Inquiry
1440,1454,2025-01-21,General Inquiry
1441,9703,2025-06-14,Account Access
1442,1481,2024-04-06,Technical
1443,3656,2024-05-17,Account Access
1444,125,2025-03-06,General Inquiry
1445,2657,2024-02-28,Technical
1446,5299,2024-09-02,Account Access
1447,2011,2025-08-10,Billing
1448,5805,2025-10-03,Account Access
1449,7884,2024-05-11,General Inquiry
1450,3422,2025-06-14,Billing
1451,2504,2024-08-29,Billing
1452,4429,2024-09-15,Account Access
1453,5206,2024-12-24,General Inquiry
1454,6241,2025-07-07,Technical
1455,4393,2024-09-20,Technical
1456,8575,2025-02-17,Billing
1457,807,2024-06-17,Technical
1458,6461,2025-01-13,Account Access
1459,9319,2024-10-15,General Inquiry
1460,6537,2024-08-30,General Inquiry
1461,347,2024-03-02,Technical
1462,4884,2024-10-24,Account Access
1463,266,2024-07-01,Technical
1464,3436,2024-08-14,General Inquiry
1465,8681,2024-09-19,Technical
1466,5688,2025-06-05,Account Access
1467,7634,2024-12-13,General Inquiry
1468,1092,2024-01-06,General Inquiry
1469,4070,2025-06-12,Billing
1470,6099,2024-06-05,General Inquiry
1471,2611,2024-12-23,General Inquiry
1472,905,2024-09-03,General Inquiry
1473,9314,2025-04-26,Billing
1474,2242,2024-12-26,General Inquiry
1475,1653,2024-11-24,Account Access
1476,4652,2025-09-25,Technical
1477,4607,2025-02-26,General Inquiry
1478,3634,2025-05-26,Technical
1479,23,2025-02-19,Technical
1480,9165,2024-07-03,Billing
1481,2157,2024-04-18,Technical
1482,5399,2025-05-24,Technical
1483,6452,2024-10-28,Technical
1484,4848,2025-08-21,Technical
1485,4075,2025-02-27,Technical
1486,306,2024-05-28,Technical
1487,7869,2025-03-01,Technical
1488,4912,2025-08-22,Technical
1489,5554,2024-02-26,Technical
1490,517,2024-12-01,Technical
1491,577,2025-02-08,Account Access
1492,4320,2024-09-22,General Inquiry
1493,2197,2025-06-23,General Inquiry
1494,9155,2024-07-19,Technical
1495,1945,2025-10-02,Account Access
1496,6169,2024-05-29,Technical
1497,2479,2024-08-11,Technical
1498,6136,2024-12-02,General Inquiry
1499,6985,2024-10-23,Account Access
1500,2504,2025-01-07,Technical
1501,7721,2024-12-26,Technical
1502,5280,2024-03-13,Technical
1503,161,2024-09-28,Technical
1504,2841,2024-11-23,Billing
1505,3875,2025-04-26,General Inquiry
1506,9453,2025-08-22,General Inquiry
1507,8581,2025-01-01,Billing
1508,5273,2024-01-27,General Inquiry
1509,1986,2024-06-22,General Inquiry
1510,5090,2024-01-02,Technical
1511,927,2024-06-01,Billing
1512,1816,2024-02-10,Technical
1513,3691,2025-06-20,Billing
1514,6852,2024-04-27,Account Access
1515,9465,2025-02-23,Billing
1516,8381,2025-06-01,General Inquiry
1517,436,2025-03-13,Technical
1518,1063,2024-07-20,Account Access
1519,5931,2024-08-04,Technical
1520,9659,2025-08-17,Billing
1521,6947,2025-03-08,Billing
1522,330,2025-02-18,Technical
1523,6179,2024-12-23,Technical
1524,738,2025-05-18,Technical
1525,1104,2025-04-08,Technical
1526,1923,2024-06-27,General Inquiry
1527,3725,2025-09-06,Technical
1528,8721,2025-09-23,Technical
1529,3710,2024-05-26,Technical
1530,2997,2025-09-28,General Inquiry
1531,9211,2025-04-27,Billing
1532,3245,2025-02-27,Technical
1533,2858,2024-10-25,Billing
1534,6590,2024-11-10,Billing
1535,9949,2024-04-06,General Inquiry
1536,7018,2024-07-26,General Inquiry
1537,4191,2025-06-28,Technical
1538,9771,2025-08-01,General Inquiry
1539,6079,2025-02-14,Technical
1540,9396,2024-01-10,General Inquiry
1541,4060,2025-09-22,Technical
1542,9682,2024-03-01,Billing
1543,4534,2025-07-17,General Inquiry
1544,8359,2024-09-02,General Inquiry
1545,7591,2025-01-23,Technical
1546,807,2024-08-16,Technical
1547,1467,2025-08-25,Technical
1548,4932,2025-04-01,Technical
1549,7008,2025-04-19,General Inquiry
1550,3788,2025-06-27,Account Access
1551,4461,2024-03-05,General Inquiry
1552,3119,2025-05-15,Technical
1553,10000,2024-05-01,General Inquiry
1554,4833,2025-04-11,General Inquiry
1555,8377,2024-09-14,Billing
1556,1111,2024-05-10,Technical
1557,247,2025-04-15,General Inquiry
1558,9637,2024-12-18,Billing
1559,4511,2025-01-16,Technical
1560,2232,2025-03-06,Account Access
1561,3471,2024-11-16,Technical
1562,6682,2025-10-10,Technical
1563,105,2025-02-19,Technical
1564,4215,2025-09-04,Billing
1565,8506,2025-10-05,General Inquiry
1566,4134,2024-11-17,Technical
1567,4807,2024-09-24,Technical
1568,74,2025-10-05,Billing
1569,3174,2024-11-30,General Inquiry
1570,6880,2024-07-27,Technical
1571,1506,2024-09-01,Account Access
1572,4004,2025-06-02,Technical
1573,5834,2024-07-08,Billing
1574,4750,2024-01-13,Billing
1575,8708,2024-01-31,Billing
1576,9873,2025-07-26,Technical
1577,8153,2024-02-11,Account Access
1578,2075,2024-07-10,Technical
1579,3221,2024-09-22,Technical
1580,6852,2024-06-26,Billing
1581,767,2024-06-03,General Inquiry
1582,5068,2024-08-10,Account Access
1583,366,2025-07-04,Technical
1584,1126,2024-12-27,Account Access
1585,4892,2025-09-07,Account Access
1586,807,2024-05-08,Billing
1587,4879,2025-06-22,Technical
1588,5787,2024-01-22,Technical
1589,8521,2025-06-26,Technical
1590,1514,2025-07-15,Billing
1591,8914,2024-04-27,Account Access
1592,2962,2025-05-08,Account Access
1593,4321,2025-06-12,Technical
1594,1188,2024-04-04,Account Access
1595,8456,2024-08-29,General Inquiry
1596,4677,2024-09-15,Billing
1597,699,2025-09-09,Billing
1598,5058,2025-04-06,Technical
1599,8244,2024-11-20,Technical
1600,9681,2025-03-24,Billing
1601,617,2024-12-09,Technical
1602,1451,2025-06-10,Account Access
1603,8795,2024-01-01,Technical
1604,5959,2025-08-29,Technical
1605,7396,2024-11-26,General Inquiry
1606,4739,2024-08-06,Technical
1607,2799,2024-03-11,Technical
1608,6007,2024-08-05,General Inquiry
1609,7748,2024-07-30,General Inquiry
1610,9916,2025-08-27,Billing
1611,298,2024-12-15,Account Access
1612,194,2024-01-08,Account Access
1613,5055,2025-05-20,Technical
1614,2699,2024-06-16,General Inquiry
1615,8430,2024-01-27,Billing
1616,1902,2025-07-15,General Inquiry
1617,897,2025-04-10,Technical
1618,3507,2025-01-25,Technical
1619,1074,2025-06-06,Account Access
1620,690,2024-01-15,General Inquiry
1621,4635,2025-04-01,Billing
1622,6493,2025-01-06,General Inquiry
1623,5119,2024-02-21,Technical
1624,6909,2025-06-19,Technical
1625,1335,2024-10-24,General Inquiry
1626,8368,2024-02-11,Technical
1627,183,2025-04-16,General Inquiry
1628,6419,2024-12-19,General Inquiry
1629,7544,2024-04-13,General Inquiry
1630,9034,2025-05-24,Account Access
1631,1892,2024-05-05,Technical
1632,8198,2024-10-01,General Inquiry
1633,3471,2025-05-03,Account Access
1634,3614,2024-05-30,Billing
1635,285,2024-04-16,General Inquiry
1636,4614,2024-06-10,Technical
1637,4332,2025-09-16,General Inquiry
1638,7092,2024-07-30,Account Access
1639,1898,2024-09-04,Billing
1640,2764,2025-02-13,General Inquiry
1641,4188,2025-02-23,General Inquiry
1642,5347,2024-11-04,General Inquiry
1643,2797,2025-09-19,General Inquiry
1644,1739,2024-02-01,General Inquiry
1645,3596,2025-03-19,Billing
1646,1487,2024-11-24,Billing
1647,785,2025-04-05,General Inquiry
1648,8792,2024-08-15,Account Access
1649,988,2024-09-28,Account Access
1650,7409,2025-02-06,Technical
1651,9395,2024-08-19,Technical
1652,4070,2025-01-31,General Inquiry
1653,9199,2024-08-14,Billing
1654,3130,2024-09-29,Technical
1655,8212,2024-04-27,General Inquiry
1656,8152,2025-07-31,Technical
1657,6414,2025-07-18,Technical
1658,3795,2024-03-17,Technical
1659,4122,2025-02-17,Technical
1660,6091,2024-03-17,Account Access
1661,3809,2025-06-29,General Inquiry
1662,5054,2025-08-31,Technical
1663,6044,2024-08-06,General Inquiry
1664,4203,2025-01-27,Technical
1665,505,2024-12-30,Technical
1666,8900,2025-09-15,Technical
1667,4660,2025-10-05,General Inquiry
1668,8667,2025-06-08,Technical
1669,183,2025-01-15,Account Access
1670,4461,2025-01-13,Technical
1671,411,2025-01-31,Billing
1672,3074,2025-01-19,Technical
1673,6852,2025-05-05,Billing
1674,1591,2024-10-07,Technical
1675,8953,2025-04-25,General Inquiry
1676,6273,2024-05-01,Technical
1677,1731,2025-06-27,General Inquiry
1678,8536,2024-04-15,Account Access
1679,4635,2024-12-31,Billing
1680,8788,2025-01-15,Billing
1681,4521,2024-05-28,Technical
1682,5471,2025-05-18,Account Access
1683,8379,2025-04-15,Account Access
1684,6023,2024-03-26,Billing
1685,6381,2024-06-27,Technical
1686,1047,2024-09-12,Billing
1687,9697,2024-02-14,Account Access
1688,2514,2025-10-11,Technical
1689,378,2024-03-07,Account Access
1690,4129,2024-01-03,Technical
1691,8430,2025-03-01,Billing
1692,3570,2025-10-06,General Inquiry
1693,4806,2024-02-04,Billing
1694,105,2025-08-14,Billing
1695,158,2025-04-04,Billing
1696,478,2025-05-03,Technical
1697,5134,2025-09-16,Account Access
1698,5900,2024-06-23,General Inquiry
1699,3908,2024-08-02,Billing
1700,4183,2024-04-03,Account Access
1701,5563,2025-04-23,Technical
1702,7686,2025-05-04,Technical
1703,2123,2024-01-20,Technical
1704,8355,2024-09-29,Account Access
1705,9320,2024-08-08,Technical
1706,9211,2025-08-29,Technical
1707,3045,2025-06-16,Account Access
1708,1407,2024-07-22,General Inquiry
1709,669,2024-07-08,General Inquiry
1710,6355,2024-02-23,Account Access
1711,5160,2025-05-08,Technical
1712,1433,2024-07-02,Technical
1713,3181,2024-10-03,General Inquiry
1714,2197,2024-05-06,General Inquiry
1715,3749,2024-05-02,Billing
1716,9500,2024-10-10,Technical
1717,335,2024-11-22,Technical
1718,9,2025-08-23,Billing
1719,3009,2025-04-22,Technical
1720,5638,2024-09-11,Technical
1721,5875,2024-10-02,Account Access
1722,1802,2025-02-18,Technical
1723,1652,2024-01-15,Billing
1724,9847,2024-06-07,Billing
1725,8041,2025-08-18,Technical
1726,6852,2024-11-24,Billing
1727,9127,2025-01-30,Account Access
1728,585,2025-04-14,Technical
1729,3468,2024-01-28,Account Access
1730,857,2024-08-10,Account Access
1731,3185,2024-11-24,Billing
1732,982,2024-12-07,Account Access
1733,5663,2025-01-19,Technical
1734,912,2024-05-20,Account Access
1735,4054,2024-11-24,General Inquiry
1736,2172,2025-04-07,Billing
1737,3523,2024-10-16,Technical
1738,7103,2025-09-03,Technical
1739,4637,2024-04-29,Technical
1740,1611,2025-09-29,General Inquiry
1741,4962,2024-02-12,Account Access
1742,8990,2025-02-05,Billing
1743,6952,2025-03-29,Account Access
1744,8370,2025-07-04,Technical
1745,8722,2024-07-14,Billing
1746,5633,2024-08-23,Technical
1747,3565,2025-10-06,Technical
1748,575,2024-11-26,Billing
1749,664,2025-02-05,Technical
1750,3860,2024-02-07,General Inquiry
1751,4883,2024-12-15,Billing
1752,9386,2024-01-16,Technical
1753,4559,2024-01-19,Billing
1754,8254,2024-05-30,Technical
1755,4041,2025-01-04,Technical
1756,6441,2025-08-15,General Inquiry
1757,4494,2024-01-20,Technical
1758,675,2025-06-18,Account Access
1759,7622,2024-05-21,Account Access
1760,939,2024-12-01,Technical
1761,7751,2025-07-28,Billing
1762,4296,2024-04-17,Account Access
1763,3683,2025-01-10,Account Access
1764,3510,2025-07-15,Technical
1765,1110,2025-01-14,General Inquiry
1766,2905,2025-10-16,Technical
1767,9363,2024-08-03,General Inquiry
1768,880,2024-06-09,Technical
1769,5088,2024-05-11,General Inquiry
1770,6235,2025-04-23,Billing
1771,9854,2024-09-17,Technical
1772,8762,2024-03-12,Account Access
1773,6715,2024-08-30,Billing
1774,9470,2024-03-19,Billing
1775,490,2025-05-20,Technical
1776,1760,2025-09-01,Technical
1777,2775,2024-03-27,Technical
1778,8545,2024-05-01,General Inquiry
1779,36,2024-11-18,Billing
1780,5952,2025-04-10,Billing
1781,2822,2025-03-04,Billing
1782,1122,2024-10-04,Billing
1783,4814,2025-10-16,Technical
1784,4210,2024-03-26,Technical
1785,2822,2024-10-25,Billing
1786,908,2024-11-28,Technical
